Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$148.69,-0.79,-0.53%,2.57789E+12,United States,1980,58838462,Technology,Computer Manufacturing
ABT,Abbott Laboratories Common Stock,$126.72,1.67,1.34%,2.24651E+11,United States,,5742342,Health Care,Medical/Dental Instruments
ACN,Accenture plc Class A Ordinary Shares (Ireland),$353.79,6.67,1.92%,2.23468E+11,Ireland,2001,1459444,Technology,EDP Services
ADBE,Adobe Inc. Common Stock,$643.58,4.92,0.77%,3.06215E+11,United States,1986,1786477,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,$178.42,-0.39,-0.22%,3.83539E+11,United States,,3074268,Technology,Semiconductors
AMZN,Amazon.com Inc. Common Stock,"$3,335.55",-99.46,-2.90%,1.68926E+12,United States,1997,3133728,Consumer Services,Catalog/Specialty Distribution
ASML,ASML Holding N.V. New York Registry Shares,$800.97,13.41,1.70%,3.31064E+11,Netherlands,1995,1294609,Technology,Industrial Machinery/Components
AVGO,Broadcom Inc. Common Stock,$515.41,1.26,0.25%,2.12151E+11,United States,2009,1536060,Technology,Semiconductors
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$177.70,0.28,0.16%,4.81729E+11,China,2014,20792883,Miscellaneous,Business Services
BAC,Bank of America Corporation Common Stock,$47.57,0.74,1.58%,4.10398E+11,United States,,36217158,Finance,Major Banks
CMCSA,Comcast Corporation Class A Common Stock,$54.22,0.19,0.35%,2.48856E+11,United States,,14850011,Consumer Services,Television Services
COST,Costco Wholesale Corporation Common Stock,$481.99,4.76,1.00%,2.12955E+11,United States,,1709697,Consumer Services,Department/Specialty Retail Stores
CRM,Salesforce.com Inc Common Stock,$292.56,2.75,0.95%,2.86416E+11,United States,2004,2925021,Technology,Computer Software: Prepackaged Software
CSCO,Cisco Systems Inc. Common Stock (DE),$55.11,-0.58,-1.04%,2.32663E+11,United States,1990,14949283,Technology,Computer peripheral equipment
CVX,Chevron Corporation Common Stock,$112.80,1.06,0.95%,2.18145E+11,United States,,8672552,Energy,Integrated oil Companies
DHR,Danaher Corporation Common Stock,$313.38,2.64,0.85%,2.23722E+11,United States,,2174049,Health Care,Medical Specialities
DIS,Walt Disney Company (The) Common Stock,$169.42,-1.92,-1.12%,3.07858E+11,United States,,7845913,Consumer Services,Movies/Entertainment
FB,Facebook Inc. Class A Common Stock,$324.61,-17.27,-5.05%,9.1522E+11,United States,2012,35149512,Technology,Internet and Information Services
GOOG,Alphabet Inc. Class C Capital Stock,"$2,772.50",-83.11,-2.91%,1.84858E+12,United States,2004,1507644,Technology,Internet and Information Services
GOOGL,Alphabet Inc. Class A Common Stock,"$2,751.33",-86.39,-3.04%,1.83446E+12,United States,,2527436,Technology,Internet and Information Services
HD,Home Depot Inc. (The) Common Stock,$365.99,1.37,0.38%,3.86251E+11,United States,,2715702,Consumer Services,RETAIL: Building Materials
IDXX,IDEXX Laboratories Inc. Common Stock,$651.85,6.61,1.02%,4.43654E+11,United States,1991,164470,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
INTC,Intel Corporation Common Stock,$49.46,-6.54,-11.68%,2.00659E+11,United States,,109799999,Technology,Semiconductors
JNJ,Johnson & Johnson Common Stock,$163.72,0.32,0.20%,4.3099E+11,United States,,4304347,Health Care,Biotechnology: Pharmaceutical Preparations
JPM,JP Morgan Chase & Co. Common Stock,$171.78,2.28,1.35%,5.07661E+11,United States,,8785918,Finance,Major Banks
KO,Coca-Cola Company (The) Common Stock,$54.45,0.1,0.18%,2.3504E+11,United States,,12828526,Consumer Non-Durables,Beverages (Production/Distribution)
LLY,Eli Lilly and Company Common Stock,$243.75,2.58,1.07%,2.33167E+11,United States,,1960675,Health Care,Biotechnology: Pharmaceutical Preparations
MA,Mastercard Incorporated Common Stock,$358.67,2.46,0.69%,3.53927E+11,United States,2006,2773722,Miscellaneous,Business Services
MRK,Merck & Company Inc. Common Stock (new),$81.15,-0.02,-0.03%,2.05421E+11,United States,,7541154,Health Care,Biotechnology: Pharmaceutical Preparations
MSFT,Microsoft Corporation Common Stock,$309.16,-1.6,-0.52%,2.32114E+12,United States,1986,17440750,Technology,Computer Software: Prepackaged Software
NFLX,Netflix Inc. Common Stock,$664.78,11.62,1.78%,2.94229E+11,United States,2002,6179696,Consumer Services,Movies/Entertainment
NKE,Nike Inc. Common Stock,$163.48,1.3,0.80%,2.58759E+11,United States,,5322295,Consumer Non-Durables,Shoe Manufacturing
NTES,NetEase Inc. American Depositary Shares,$102.24,0.49,0.48%,2.74404E+11,China,,3073002,Miscellaneous,Business Services
NVDA,NVIDIA Corporation Common Stock,$227.26,0.34,0.15%,5.6815E+11,United States,1999,24892235,Technology,Semiconductors
NVO,Novo Nordisk A/S Common Stock,$106.01,1.6,1.53%,2.42574E+11,Denmark,,620041,Health Care,Biotechnology: Pharmaceutical Preparations
ORCL,Oracle Corporation Common Stock,$98.25,1.95,2.03%,2.68585E+11,United States,1986,6819123,Technology,Computer Software: Prepackaged Software
PEP,PepsiCo Inc. Common Stock,$159.97,0.79,0.50%,2.21183E+11,United States,,3239095,Consumer Non-Durables,Beverages (Production/Distribution)
PFE,Pfizer Inc. Common Stock,$43.16,0.3,0.70%,2.41985E+11,United States,,17174585,Health Care,Biotechnology: Pharmaceutical Preparations
PG,Procter & Gamble Company (The) Common Stock,$140.83,1.5,1.08%,3.40801E+11,United States,,5237678,Consumer Non-Durables,Package Goods/Cosmetics
PYPL,PayPal Holdings Inc. Common Stock,$240.40,-2.81,-1.16%,2.82478E+11,United States,,24146381,Miscellaneous,Business Services
TM,Toyota Motor Corporation Common Stock,$173.40,-0.62,-0.36%,2.40275E+11,Japan,,206708,Capital Goods,Auto Manufacturing
TMO,Thermo Fisher Scientific Inc Common Stock,$611.96,3.55,0.58%,2.40757E+11,United States,,738682,Capital Goods,Biotechnology: Laboratory Analytical Instruments
TSLA,Tesla Inc. Common Stock,$909.68,15.68,1.75%,9.11288E+11,United States,2010,22836342,Capital Goods,Auto Manufacturing
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$114.23,-2.06,-1.77%,5.92397E+11,Taiwan,1997,6273389,Technology,Semiconductors
UNH,UnitedHealth Group Incorporated Common Stock (DE),$449.16,6.88,1.56%,4.23521E+11,United States,,2724165,Health Care,Medical Specialities
V,Visa Inc.,$231.23,0.99,0.43%,4.91784E+11,United States,,3786955,Miscellaneous,Business Services
WFC,Wells Fargo & Company Common Stock,$50.66,0.33,0.66%,2.02484E+11,United States,,21511229,Finance,Major Banks
WMT,Walmart Inc. Common Stock,$148.34,1.53,1.04%,4.13646E+11,United States,,7064355,Consumer Services,Department/Specialty Retail Stores
XOM,Exxon Mobil Corporation Common Stock,$63.12,0.43,0.69%,2.67222E+11,United States,,14251035,Energy,Oil & Gas Production
